Date,market_sam,closing_sam,yesterday_sam,high_sam,low_sam,volume_sam,price_du,closing_sp,open_sp,high_sp,low_sp,closing_dji,open_dji,high_dji,low_dji,volume_dji,closing_cny,open_cny,high_cny,low_cny,change_cny,closing_jpy,open_jpy,high_jpy,low_jpy,change_jpy,closing_usd,open_usd,high_usd,low_usd,closing_sh,open_sh,high_sh,low_sh,volume_sh,price_kospi,yesterday_kospi,change_kospi,volume_kospi,money_kospi
2019-09-10,47100.0,47000.0,100.0,47200.0,46550.0,9231792.0,59.75,2979.39,2971.01,2979.39,2957.01,26909.43,26805.83,26909.43,26717.05,322340000.0,167.52,167.38,167.83,166.91,0.01,11.0792,11.1156,11.1283,11.0587,-0.4,1191.51,1192.09,1193.86,1188.76,3021.2,3027.41,3027.41,3005.38,24000000000,268.76,1.36,0.51,66344000,2960000000000.0
2019-09-09,46450.0,46900.0,600.0,47000.0,46300.0,9434157.0,60.06,2978.43,2988.43,2989.43,2969.39,26835.51,26866.23,26900.83,26762.18,273120000.0,167.5,167.6,167.99,166.94,-0.07,11.1234,11.1684,11.1995,11.1148,-0.29,1192.93,1192.87,1195.88,1189.29,3024.74,3023.78,3026.24,3005.69,24340000000,267.4,1.87,0.7,62206000,2700000000000.0
2019-09-06,46500.0,46300.0,600.0,46500.0,45850.0,9896562.0,59.3,2978.71,2980.33,2985.03,2972.51,26797.46,26790.25,26860.87,26708.39,209700000.0,167.62,167.62,168.03,167.22,0.02,11.1562,11.2101,11.2182,11.1266,-0.41,1192.77,1198.03,1199.4,1189.8,2999.6,2996.62,2999.94,2981.6,21680000000,265.53,1.09,0.41,59196000,2520000000000.0
2019-09-05,44800.0,45700.0,1600.0,46100.0,44450.0,18297430.0,58.64,2976.0,2960.6,2985.86,2960.6,26728.15,26603.15,26836.3,26603.15,256670000.0,167.59,168.43,168.62,167.19,-0.58,11.2022,11.3207,11.3313,11.1602,-1.06,1198.02,1204.14,1205.48,1195.7,2985.86,2972.66,3015.84,2972.66,30540000000,264.44,2.75,1.05,88986000,4000000000000.0
2019-09-04,43250.0,44100.0,850.0,44100.0,43150.0,12441837.0,58.6,2937.78,2924.67,2938.84,2921.86,26355.47,26301.99,26362.35,26244.44,202710000.0,168.57,168.88,169.25,168.31,-0.11,11.3222,11.4355,11.4579,11.318,-1.0,1204.63,1211.54,1213.0,1203.6,2957.41,2927.75,2957.41,2925.88,22550000000,261.69,3.44,1.33,69291000,2970000000000.0
2019-09-03,43550.0,43250.0,-550.0,43650.0,43100.0,9774941.0,56.69,2906.27,2909.01,2914.39,2891.85,26118.02,26198.26,26198.26,25978.22,223210000.0,168.76,169.35,169.56,168.72,-0.35,11.4361,11.437000000000001,11.4963,11.4125,0.01,1211.54,1214.67,1217.8,1211.24,2930.15,2925.94,2930.15,2915.2,18900000000,258.25,-0.83,-0.32,64324000,2660000000000.0
2019-08-30,43750.0,44000.0,600.0,44300.0,43750.0,9899073.0,59.11,2926.46,2937.09,2940.43,2913.32,26403.28,26476.39,26514.62,26295.59,219080000.0,169.14,169.27,169.61,168.76,-0.06,11.3871,11.3517,11.4058,11.3338,0.31,1210.5,1209.12,1212.58,1206.99,2886.24,2907.38,2914.58,2874.1,19400000000,259.0,4.69,1.84,94156000,3340000000000.0
2019-08-29,44200.0,43400.0,-750.0,44200.0,43050.0,10768862.0,59.09,2924.58,2910.37,2930.5,2905.67,26362.25,26249.09,26408.84,26185.71,212190000.0,169.24,169.29,169.97,169.03,-0.05,11.3516,11.4326,11.5051,11.3287,-0.71,1209.12,1213.29,1217.88,1207.9,2890.92,2896.0,2898.6,2878.59,17860000000,254.31,-1.22,-0.48,64846000,2760000000000.0
2019-08-28,44100.0,44150.0,100.0,44400.0,43750.0,5758333.0,59.11,2887.94,2861.28,2890.03,2853.05,26036.1,25712.99,26041.57,25637.43,207070000.0,169.33,169.34,169.82,169.2,0.01,11.4327,11.4695,11.5052,11.4206,-0.32,1213.29,1212.74,1216.08,1211.74,2893.76,2901.63,2905.44,2887.01,18310000000,255.53,2.03,0.8,58341000,2320000000000.0
2019-08-27,43650.0,44050.0,450.0,44200.0,43600.0,16883932.0,58.98,2869.16,2893.14,2898.79,2860.59,25777.9,26014.46,26054.02,25721.85,263530000.0,169.32,169.6,170.12,169.09,-0.16,11.4696,11.4265,11.5022,11.4155,0.38,1212.74,1212.74,1216.38,1210.7,2902.19,2879.52,2919.64,2879.41,20810000000,253.5,1.31,0.52,93381000,3630000000000.0
